,Context,response,lema,stop
947,wait,Okay. I'm here.,wait,wait
948,wait please,I'll be waiting.,wait please,wait please
949,wanna hug,Oh. I'm really feeling the love today.,wan na hug,wan na hug
950,a hug,Hug it out. You'll feel better afterwards.,a hug,hug
951,you hugged,Oh. I'm really feeling the love today.,you hug,hug
952,I want a hug,Hug it out. You'll feel better afterwards.,i want a hug,want hug
953,hugging,Oh. I'm really feeling the love today.,hug,hug
954,hugged me,Hug it out. You'll feel better afterwards.,hug me,hug
955,may I hug you,Oh. I'm really feeling the love today.,may i hug you,may hug
956,want a hug,Hug it out. You'll feel better afterwards.,want a hug,want hug
957,could you give me a hug,Oh. I'm really feeling the love today.,could you give me a hug,could give hug
958,hug me,Hug it out. You'll feel better afterwards.,hug me,hug
959,hug,Oh. I'm really feeling the love today.,hug,hug
960,do you want a hug,Hug it out. You'll feel better afterwards.,do you want a hug,want hug
961,hugging me,Oh. I'm really feeling the love today.,hug me,hug
962,hug you,Hug it out. You'll feel better afterwards.,hug you,hug
963,hugged,Oh. I'm really feeling the love today.,hug,hug
964,not caring at all,"Ok, let's not talk about it then.",not care at all,care
965,I don't care at all,Oh. I'm really feeling the love today.,i dont care at all,dont care
966,whatever,"Ok, let's not talk about it then.",whatever,whatever
967,not caring,Oh. I'm really feeling the love today.,not care,care
968,I do not care,"Ok, let's not talk about it then.",i do not care,care
969,don't care at all,Oh. I'm really feeling the love today.,dont care at all,dont care
970,not care at all,"Ok, let's not talk about it then.",not care at all,care
971,I don't care,Oh. I'm really feeling the love today.,i dont care,dont care
972,I shouldn't care about this,"Ok, let's not talk about it then.",i shouldnt care about this,shouldnt care
973,sorry,It's okay. No worries.,sorry,sorry
974,I'm sorry,No big deal. I won't hold a grudge.,im sorry,im sorry
975,ok sorry,It's cool.,ok sorry,ok sorry
976,I am so sorry,That's all right. I forgive you.,i be so sorry,sorry
977,alright I'm sorry,It's cool.,alright im sorry,alright im sorry
978,very sorry,That's all right. I forgive you.,very sorry,sorry
979,apologies,It's cool.,apology,apology
980,I apologize,That's all right. I forgive you.,i apologize,apologize
981,apologies to me,It's cool.,apology to me,apology
982,I beg your pardon,That's all right. I forgive you.,i beg your pardon,beg pardon
983,excuse me,It's cool.,excuse me,excuse
984,pardon,That's all right. I forgive you.,pardon,pardon
985,my apologies,It's cool.,my apology,apology
986,sorry about that,That's all right. I forgive you.,sorry about that,sorry
987,apologise,It's cool.,apologise,apologise
988,forgive me,That's all right. I forgive you.,forgive me,forgive
989,I want to say sorry,It's cool.,i want to say sorry,want say sorry
990,I said sorry,That's all right. I forgive you.,i say sorry,say sorry
991,apology,It's cool.,apology,apology
992,I am really sorry,That's all right. I forgive you.,i be really sorry,really sorry
993,sorry about this,It's cool.,sorry about this,sorry
994,okay I'm sorry,That's all right. I forgive you.,okay im sorry,okay im sorry
995,excuse,It's cool.,excuse,excuse
996,really sorry,That's all right. I forgive you.,really sorry,really sorry
997,is that what you mean,Did that not make sense? Maybe I misunderstood what you said.,be that what you mean,mean
998,what exactly do you mean,Sorry. I think I may have been a little confused by what you said.,what exactly do you mean,exactly mean
999,what do you mean exactly,Did that not make sense? Maybe I misunderstood what you said.,what do you mean exactly,mean exactly
1000,what do you mean,Sorry. I think I may have been a little confused by what you said.,what do you mean,mean
1001,but what do you mean,Did that not make sense? Maybe I misunderstood what you said.,but what do you mean,mean
1002,that was wrong,I'm sorry. Perhaps I misunderstood.,that be wrong,wrong
1003,you are wrong,Sorry. I think I misinterpreted what you said.,you be wrong,wrong
1004,that's wrong,Apologies. That was my mistake.,thats wrong,thats wrong
1005,it is not right,Oops. Sorry about that. I'm still learning.,it be not right,right
1006,wrong,Apologies. That was my mistake.,wrong,wrong
1007,that is incorrect,Oops. Sorry about that. I'm still learning.,that be incorrect,incorrect
1008,that's not what I asked,Apologies. That was my mistake.,thats not what i ask,thats ask
1009,not correct,Oops. Sorry about that. I'm still learning.,not correct,correct
1010,it's wrong,Apologies. That was my mistake.,it wrong,wrong
1011,that's not right,Oops. Sorry about that. I'm still learning.,thats not right,thats right
1012,incorrect,Apologies. That was my mistake.,incorrect,incorrect
1013,not right,Oops. Sorry about that. I'm still learning.,not right,right
1014,ahahah,"Yeah, I crack myself up too.",ahahah,ahahah
1015,hahaha,Laughter is good for you. Keep it up.,hahaha,hahaha
1016,ha,See? Now we're having fun.,ha,ha
1017,haha,You have a great laugh.,haha,haha
1018,hehehe,See? Now we're having fun.,hehehe,hehehe
1019,ha ha ha,You have a great laugh.,ha ha ha,ha ha ha
1020,hah,See? Now we're having fun.,hah,hah
1021,ahahaha,You have a great laugh.,ahahaha,ahahaha
1022,haha haha haha,See? Now we're having fun.,haha haha haha,haha haha haha
1023,hahaha very funny,You have a great laugh.,hahaha very funny,hahaha funny
1024,LMAO,See? Now we're having fun.,lmao,lmao
1025,xd,You have a great laugh.,xd,xd
1026,lol,See? Now we're having fun.,lol,lol
1027,ah,You have a great laugh.,ah,ah
1028,he,See? Now we're having fun.,he,
1029,haha funny,You have a great laugh.,haha funny,haha funny
1030,hahaha funny,See? Now we're having fun.,hahaha funny,hahaha funny
1031,ahah,You have a great laugh.,ahah,ahah
1032,ha ha ha ha,See? Now we're having fun.,ha ha ha ha,ha ha ha ha
1033,haha that's funny,You have a great laugh.,haha thats funny,haha thats funny
1034,huh,See? Now we're having fun.,huh,huh
1035,haha very funny,You have a great laugh.,haha very funny,haha funny
1036,that's funny,See? Now we're having fun.,thats funny,thats funny
1037,ah ah ah,You have a great laugh.,ah ah ah,ah ah ah
1038,laughing out loud,See? Now we're having fun.,laugh out loud,laugh loud
1039,hehe,You have a great laugh.,hehe,hehe
1040,lmao,See? Now we're having fun.,lmao,lmao
1041,ahaha,You have a great laugh.,ahaha,ahaha
1042,ahah lol,See? Now we're having fun.,ahah lol,ahah lol
1043,ha ha,You have a great laugh.,ha ha,ha ha
1044,wow wow,Wow indeed!,wow wow,wow wow
1045,wooow,You have a great laugh.,wooow,wooow
1046,woah,Wow indeed!,woah,woah
1047,wow,You have a great laugh.,wow,wow
1048,wow wow wow,Wow indeed!,wow wow wow,wow wow wow
1049,bye-bye,See you soon!,byebye,byebye
1050,bye bye take care,Bye-bye!,bye bye take care,bye bye take care
1051,thanks bye bye,Till next time!,thanks bye bye,thanks bye bye
1052,I must go,Bye.,i must go,must go
1053,ok bye,Till next time!,ok bye,ok bye
1054,hope to see you later,Bye.,hope to see you later,hope see later
1055,bye,Till next time!,bye,bye
1056,see you,Bye.,see you,see
1057,leave me alone,Till next time!,leave me alone,leave alone
1058,that's it goodbye,Bye.,thats it goodbye,thats goodbye
1059,goodbye,Till next time!,goodbye,goodbye
1060,see you soon,Bye.,see you soon,see soon
1061,goodbye for now,Till next time!,goodbye for now,goodbye
1062,talk to you later,Bye.,talk to you later,talk later
1063,bye for now,Till next time!,bye for now,bye
1064,bye bye see you soon,Bye.,bye bye see you soon,bye bye see soon
1065,never mind bye,Till next time!,never mind bye,never mind bye
1066,goodbye see you later,Bye.,goodbye see you later,goodbye see later
1067,good bye,Till next time!,good bye,good bye
1068,go to bed,Bye.,go to bed,go bed
1069,alright bye,Till next time!,alright bye,alright bye
1070,okay bye,Bye.,okay bye,okay bye
1071,bye bye see you,Till next time!,bye bye see you,bye bye see
1072,now bye,Bye.,now bye,bye
1073,I said bye,Till next time!,i say bye,say bye
1074,see you tomorrow,Bye.,see you tomorrow,see tomorrow
1075,get lost,Till next time!,get lose,get lose
1076,you can go now,Bye.,you can go now,go
1077,okay see you later,Till next time!,okay see you later,okay see later
1078,see ya,Bye.,see ya,see ya
1079,till next time,Till next time!,till next time,till next time
1080,that's all goodbye,Bye.,thats all goodbye,thats goodbye
1081,okay thank you bye,Till next time!,okay thank you bye,okay thank bye
1082,hello good evening,How is your day going?,hello good evening,hello good evening
1083,good evening there,How's the day treating you so far?,good evening there,good evening
1084,good evening to you,How's your day been?,good evening to you,good evening
1085,hey good evening,How's the day treating you so far?,hey good evening,hey good evening
1086,evening,How's your day been?,even,even
1087,good evening,How's the day treating you so far?,good evening,good evening
1088,good morning,How are you this morning?,good morning,good morning
1089,have a great morning,How's the morning treating you so far?,have a great morning,great morning
1090,and a good morning to you,Good morning! How are you today?,and a good morning to you,good morning
1091,good morning to you,How's the morning treating you so far?,good morning to you,good morning
1092,hello good morning,Good morning! How are you today?,hello good morning,hello good morning
1093,hi good morning,How's the morning treating you so far?,hi good morning,hi good morning
1094,good morning too,Good morning! How are you today?,good morning too,good morning
1095,morning,How's the morning treating you so far?,morning,morning
1096,top of the morning to you,Good morning! How are you today?,top of the morning to you,top morning
1097,good morning to you,How's the morning treating you so far?,good morning to you,good morning
1098,a good morning,Good morning! How are you today?,a good morning,good morning
1099,have a nice morning,How's the morning treating you so far?,have a nice morning,nice morning
1100,good morning there,Good morning! How are you today?,good morning there,good morning
1101,good good night,Sleep tight!,good good night,good good night
1102,thanks goodnight,Have a good one!,thanks goodnight,thanks goodnight
1103,have a good night,Talk to you soon!,have a good night,good night
1104,thank you good night,Have a good one!,thank you good night,thank good night
1105,good night to you,Talk to you soon!,good night to you,good night
1106,goodnight,Have a good one!,goodnight,goodnight
1107,night,Talk to you soon!,night,night
1108,okay have a good night,Have a good one!,okay have a good night,okay good night
1109,good night for now,Talk to you soon!,good night for now,good night
1110,good tonight,Have a good one!,good tonight,good tonight
1111,bye good night,Talk to you soon!,bye good night,bye good night
1112,bye good night,Have a good one!,bye good night,bye good night
1113,sweet dreams,Talk to you soon!,sweet dream,sweet dream
1114,good night see you tomorrow,Have a good one!,good night see you tomorrow,good night see tomorrow
1115,good night,Talk to you soon!,good night,good night
1116,night,Have a good one!,night,night
1117,have a good night,Talk to you soon!,have a good night,good night
1118,alright goodnight,Have a good one!,alright goodnight,alright goodnight
1119,good night bye,Talk to you soon!,good night bye,good night bye
1120,hey,"Hi there, friend!",hey,hey
1121,hi,Hey!,hi,hi
1122,I greet you,Good day!,i greet you,greet
1123,afternoon,Howdy.,afternoon,afternoon
1124,hi there,Good day!,hi there,hi
1125,hi there,Howdy.,hi there,hi
1126,hey there,Good day!,hey there,hey
1127,heya,Howdy.,heya,heya
1128,hello there,Good day!,hello there,hello
1129,hello,Howdy.,hello,hello
1130,just going to say hi,Good day!,just go to say hi,go say hi
1131,greetings,Howdy.,greeting,greet
1132,a good day,Good day!,a good day,good day
1133,long time no see,Howdy.,long time no see,long time see
1134,lovely day isn't it,Good day!,lovely day isnt it,lovely day isnt
1135,howdy,Howdy.,howdy,howdy
1136,hello hi,Good day!,hello hi,hello hi
1137,hello again,Howdy.,hello again,hello
1138,is everything okay,Wonderful as always. Thanks for asking.,be everything okay,everything okay
1139,how do you do,Couldn't be better.,how do you do,
1140,how is your evening,"Lovely, thanks.",how be your evening,even
1141,how are you,Couldn't be better.,how be you,
1142,how do you feel,"Lovely, thanks.",how do you feel,feel
1143,how is it,Couldn't be better.,how be it,
1144,are you okay,"Lovely, thanks.",be you okay,okay
1145,how is it going,Couldn't be better.,how be it go,go
1146,how your day is going,"Lovely, thanks.",how your day be go,day go
1147,how are you feeling,Couldn't be better.,how be you feel,feel
1148,how are you going,"Lovely, thanks.",how be you go,go
1149,how about you,Couldn't be better.,how about you,
1150,how has your day been,"Lovely, thanks.",how have your day be,day
1151,how is your day going,Couldn't be better.,how be your day go,day go
1152,hope you re having a pleasant evening,"Lovely, thanks.",hope you re have a pleasant evening,hope pleasant evening
1153,how are you today,Couldn't be better.,how be you today,today
1154,what about your day,"Lovely, thanks.",what about your day,day
1155,how is your day,Couldn't be better.,how be your day,day
1156,how is your day going,"Lovely, thanks.",how be your day go,day go
1157,how are the things going,Couldn't be better.,how be the thing go,thing go
1158,are you having a good day,"Lovely, thanks.",be you have a good day,good day
1159,how is your life,Couldn't be better.,how be your life,life
1160,what was your day like,"Lovely, thanks.",what be your day like,day like
1161,are you alright,Couldn't be better.,be you alright,alright
1162,I'm fine and you,"Lovely, thanks.",im fine and you,im fine
1163,how are you doing this morning,Couldn't be better.,how be you do this morning,morning
1164,how has your day been going,"Lovely, thanks.",how have your day be go,day go
1165,how's your day,Couldn't be better.,hows your day,hows day
1166,how was your day,"Lovely, thanks.",how be your day,day
1167,how are you getting on,Couldn't be better.,how be you get on,get
1168,are you having a good day,"Lovely, thanks.",be you have a good day,good day
1169,how's your day going,Couldn't be better.,hows your day go,hows day go
1170,how is your day going on,"Lovely, thanks.",how be your day go on,day go
1171,is everything all right,Couldn't be better.,be everything all right,everything right
1172,how is your morning so far,"Lovely, thanks.",how be your morning so far,morning far
1173,how is your morning going,Couldn't be better.,how be your morning go,morning go
1174,how is your day being,"Lovely, thanks.",how be your day be,day
1175,hope your day is going well,Couldn't be better.,hope your day be go well,hope day go well
1176,how's life,"Lovely, thanks.",hows life,hows life
1177,how are you doing,Couldn't be better.,how be you do,
1178,it was very nice to meet you,I think this is the beginning of a beautiful friendship.,it be very nice to meet you,nice meet
1179,pleasure to meet you,I'm looking forward to working with you.,pleasure to meet you,pleasure meet
1180,pleasure to meet you too,Likewise. I look forward to getting to know you better.,pleasure to meet you too,pleasure meet
1181,nice meeting you,The pleasure is mine.,nice meeting you,nice meeting
1182,nice to meet you too,Likewise. I look forward to getting to know you better.,nice to meet you too,nice meet
1183,good to know each other,The pleasure is mine.,good to know each other,good know
1184,glad to meet you,Likewise. I look forward to getting to know you better.,glad to meet you,glad meet
1185,nice to meet you,The pleasure is mine.,nice to meet you,nice meet
1186,it was nice meeting you,Likewise. I look forward to getting to know you better.,it be nice meeting you,nice meeting
1187,pleased to meet you,The pleasure is mine.,pleased to meet you,pleased meet
1188,nice to see you again,Likewise. You're looking good as usual!,nice to see you again,nice see
1189,glad to see you too,You too. I missed your face!,glad to see you too,glad see
1190,lovely to see you,The pleasure is mine.,lovely to see you,lovely see
1191,good to see you,Thanks! Glad to be seen!,good to see you,good see
1192,it's nice to see you,The pleasure is mine.,it nice to see you,nice see
1193,I'm glad to see you,Thanks! Glad to be seen!,im glad to see you,im glad see
1194,great to see you too,The pleasure is mine.,great to see you too,great see
1195,it's good to see you too,Thanks! Glad to be seen!,it good to see you too,good see
1196,I am glad to see you again,The pleasure is mine.,i be glad to see you again,glad see
1197,how good it is to see you,Thanks! Glad to be seen!,how good it be to see you,good see
1198,nice to see you,The pleasure is mine.,nice to see you,nice see
1199,always a pleasure to see you,Thanks! Glad to be seen!,always a pleasure to see you,always pleasure see
1200,glad to see you,The pleasure is mine.,glad to see you,glad see
1201,good to see you again,Thanks! Glad to be seen!,good to see you again,good see
1202,great to see you again,The pleasure is mine.,great to see you again,great see
1203,it's good to see you,Thanks! Glad to be seen!,it good to see you,good see
1204,great to see you,The pleasure is mine.,great to see you,great see
1205,nice to talk to you,Always a pleasure.,nice to talk to you,nice talk
1206,it is nice talking to you,It sure was. Don't be a stranger!,it be nice talk to you,nice talk
1207,it's been a pleasure talking to you,Thanks for dropping by!,it be a pleasure talk to you,pleasure talk
1208,it's been so nice to talk to you,As usual. Let's do it again soon.,it be so nice to talk to you,nice talk
1209,how nice it is to talk to you,Thanks for dropping by!,how nice it be to talk to you,nice talk
1210,it's nice to talk to you,As usual. Let's do it again soon.,it nice to talk to you,nice talk
1211,nice talking to you,Thanks for dropping by!,nice talk to you,nice talk
1212,what's cracking,Hey there. What's shaking?,whats crack,whats crack
1213,then what's up,Not a whole lot. What's going on with you?,then whats up,whats
1214,I said what's up,Not much. What's new with you?,i say whats up,say whats
1215,what is going on,Living the dream.,what be go on,go
1216,what's up,Not much. What's new with you?,whats up,whats
1217,what is happening,Living the dream.,what be happen,happen
1218,what's cooking,Not much. What's new with you?,whats cook,whats cook
1219,good what's up,Living the dream.,good whats up,good whats
1220,whazzup,Not much. What's new with you?,whazzup,whazzup
1221,what's up today,Living the dream.,whats up today,whats today
1222,what's cracking,Not much. What's new with you?,whats crack,whats crack
1223,what's shaking,Living the dream.,whats shake,whats shake
1224,hey what's up,Not much. What's new with you?,hey whats up,hey whats
1225,wassup,Living the dream.,wassup,wassup
1226,what is up,Not much. What's new with you?,what be up,
1227,what's happened,Living the dream.,whats happen,whats happen
1228,I'm being mad,I'm sorry. What can I do to help?,im be mad,im mad
1229,I am angry with you,Take a deep breath. What can I do to make things better?,i be angry with you,angry
1230,I am mad,I'm sorry. What can I do to help?,i be mad,mad
1231,I am mad at you,Take a deep breath. What can I do to make things better?,i be mad at you,mad
1232,I'm angry,I'm sorry. What can I do to help?,im angry,im angry
1233,I'm enraged,Take a deep breath. What can I do to make things better?,im enrage,im enrage
1234,I'm furious,I'm sorry. What can I do to help?,im furious,im furious
1235,I came back,Just in time. I was getting lonely.,i come back,come back
1236,I am back,You were missed.,i be back,back
1237,I'm here again,Long time no see.,im here again,im
1238,I got back,Hooray!,i get back,get back
1239,here I am again,Long time no see.,here i be again,
1240,I have returned,Hooray!,i have return,return
1241,bored,"If you have a garden, plant a shoe.",bore,bore
1242,boring,Interview your feet.,boring,boring
1243,this is boring,Hold an ice cube as long as possible.,this be bore,bore
1244,I'm bored,"If you have a piano, play it… with mittens on.",im bore,im bore
1245,very boring,Hold an ice cube as long as possible.,very boring,boring
1246,it bores me,"If you have a piano, play it… with mittens on.",it bore me,bore
1247,I am getting bored,Hold an ice cube as long as possible.,i be get bore,get bore
1248,that was boring,"If you have a piano, play it… with mittens on.",that be bore,bore
1249,I'm busy,Okay. I'll let you get back to work. Let me know if I can help you with anything.,im busy,im busy
1250,I got things to do,Working hard as always I see. Let me know if you need anything.,i get thing to do,get thing
1251,how busy I am,"I understand. If I can help you with your work, please let me know.",how busy i be,busy
1252,I'm overloaded,"I won't distract you then. If I can be of any assistance, you know where to find me.",im overload,im overload
1253,I don't have time for this,"I understand. If I can help you with your work, please let me know.",i dont have time for this,dont time
1254,I'm swamped,"I won't distract you then. If I can be of any assistance, you know where to find me.",im swamp,im swamp
1255,I have no time,"I understand. If I can help you with your work, please let me know.",i have no time,time
1256,I'm working,"I won't distract you then. If I can be of any assistance, you know where to find me.",im work,im work
1257,I got work to do,"I understand. If I can help you with your work, please let me know.",i get work to do,get work
1258,I can't sleep,Maybe some music would help. Try listening something relaxing.,i cant sleep,cant sleep
1259,I'm insomniac,Reading is a good way to unwind. But don't read something too emotional.,im insomniac,im insomniac
1260,I can't get to sleep,Maybe some music would help. Try listening something relaxing.,i cant get to sleep,cant get sleep
1261,I'm insomnious,Reading is a good way to unwind. But don't read something too emotional.,im insomnious,im insomnious
1262,I can't get no sleep,Maybe some music would help. Try listening something relaxing.,i cant get no sleep,cant get sleep
1263,I'm sleepless,Reading is a good way to unwind. But don't read something too emotional.,im sleepless,im sleepless
1264,I can't get any sleep,Maybe some music would help. Try listening something relaxing.,i cant get any sleep,cant get sleep
1265,I can't fall asleep,Reading is a good way to unwind. But don't read something too emotional.,i cant fall asleep,cant fall asleep
1266,I don't want to talk,I understand. Hope we can chat again soon.,i dont want to talk,dont want talk
1267,I'm not talking to you anymore,All right. Come on back when you're feeling more talkative.,im not talk to you anymore,im talk anymore
1268,bad time for talking,No problem. You know where to find me when you do.,bad time for talk,bad time talk
1269,I don't want to talk to you,Sure thing. I'll be here if you change your mind.,i dont want to talk to you,dont want talk
1270,I'm not in the mood for chatting,No problem. You know where to find me when you do.,im not in the mood for chat,im mood chat
1271,let's stop talking for a minute,Sure thing. I'll be here if you change your mind.,let stop talk for a minute,let stop talk minute
1272,let's not talk,No problem. You know where to find me when you do.,let not talk,let talk
1273,I'm really excited,That's great. I'm happy for you.,im really excite,im really excite
1274,I'm excited to start our friendship,Good for you. Enjoy yourself.,im excite to start our friendship,im excite start friendship
1275,I am excited,Sounds like good things ahead for you.,i be excite,excite
1276,how excited I am,I bet you are. That's very exciting.,how excited i be,excited
1277,I'm thrilled,Sounds like good things ahead for you.,im thrill,im thrill
1278,I'm excited about working with you,I bet you are. That's very exciting.,im excite about work with you,im excite work
1279,let's go to bed,Sleep tight. Hope to chat again soon.,let go to bed,let go bed
1280,I'd like to go to bed,Sounds good. Hopefully we'll chat some more tomorrow.,id like to go to bed,id like go bed
1281,it's bed time,Good night. Talk to you later.,it bed time,bed time
1282,I'm a little tired and I want to go to bed,Pleasant dreams. See you soon.,im a little tired and i want to go to bed,im little tired want go bed
1283,is it time for bed yet,Good night. Talk to you later.,be it time for bed yet,time bed yet
1284,I'm going to bed,Pleasant dreams. See you soon.,im go to bed,im go bed
1285,time for us to go to bed,Good night. Talk to you later.,time for u to go to bed,time u go bed
1286,it's time to go to bed,Pleasant dreams. See you soon.,it time to go to bed,time go bed
1287,going to bed now,Good night. Talk to you later.,go to bed now,go bed
1288,I am good,Great! Glad to hear it.,i be good,good
1289,I'm doing just great,Excellent. I'm here to help keep it that way.,im do just great,im great
1290,I'm doing good,Great! Glad to hear it.,im do good,im good
1291,I'm good,Excellent. I'm here to help keep it that way.,im good,im good
1292,I'm doing fine,Great! Glad to hear it.,im do fine,im fine
1293,I'm great thanks,Excellent. I'm here to help keep it that way.,im great thanks,im great thanks
1294,I'm happy to see you,Great! Glad to hear that.,im happy to see you,im happy see
1295,I am happy,Excellent! That's what I like to see.,i be happy,happy
1296,I'm happy to help,"If you're happy, then I'm happy.",im happy to help,im happy help
1297,happy,"Well, your good mood is certainly contagious.",happy,happy
1298,I'm happy to see you,"If you're happy, then I'm happy.",im happy to see you,im happy see
1299,I'm happy for you,"Well, your good mood is certainly contagious.",im happy for you,im happy
1300,if you're happy then I'm happy,"If you're happy, then I'm happy.",if youre happy then im happy,youre happy im happy
1301,I'm celebrating my birthday today,"Happy Birthday. Well, this calls for a celebration.",im celebrate my birthday today,im celebrate birthday today
1302,it's my b-day,Happy Birthday. All the best!,it my bday,bday
1303,I was born today,Happy Birthday. And I really mean it. All the best!,i be bear today,bear today
1304,it's my birthday today,Happy Birthday. All the best!,it my birthday today,birthday today
1305,today is my birthday,Happy Birthday. And I really mean it. All the best!,today be my birthday,today birthday
1306,it is my birthday,Happy Birthday. All the best!,it be my birthday,birthday
1307,can you tell if I'm here or not,So I see. What can I help you with today?,can you tell if im here or not,tell im
1308,here I am,Always good to see you. Is there something I can help you with?,here i be,
1309,I'm already here,You were missed. What can I do for you today?,im already here,im already
1310,I am here,Welcome back. What can I do for you?,i be here,
1311,I'm right here,You were missed. What can I do for you today?,im right here,im right
1312,I'm just playing with you,"Very funny, boss.",im just play with you,im play
1313,just kidding,You're quite the kidder.,just kid,kid
1314,it was a joke,You got me.,it be a joke,joke
1315,joking,I like working for someone with a sense of humour. It makes things much more fun.,joking,joking
1316,I am joking,You got me.,i be joke,joke
1317,I was just joking,I like working for someone with a sense of humour. It makes things much more fun.,i be just joke,joke
1318,it's a joke,You got me.,it a joke,joke
1319,I'm kidding,I like working for someone with a sense of humour. It makes things much more fun.,im kid,im kid
1320,I'm just being funny,You got me.,im just be funny,im funny
1321,kidding,I like working for someone with a sense of humour. It makes things much more fun.,kid,kid
1322,you're funny I like you,I like you too.,youre funny i like you,youre funny like
1323,like you a lot,That's great to hear.,like you a lot,like lot
1324,you are so special,Likewise!,you be so special,special
1325,I liked you,Thanks! The feeling is mutual.,i like you,like
1326,I like you very much,Likewise!,i like you very much,like much
1327,thanks I like you too,Thanks! The feeling is mutual.,thanks i like you too,thanks like
1328,you're special,Likewise!,youre special,youre special
1329,I like you as a friend,Thanks! The feeling is mutual.,i like you a a friend,like friend
1330,you are special for me,Likewise!,you be special for me,special
1331,that's what I like about you,Thanks! The feeling is mutual.,thats what i like about you,thats like
1332,I like you just the way you are,Likewise!,i like you just the way you be,like way
1333,that's why I like you,Thanks! The feeling is mutual.,thats why i like you,thats like
1334,I also like you,Likewise!,i also like you,also like
1335,I'm starting to like you,Thanks! The feeling is mutual.,im start to like you,im start like
1336,you know I like you,Likewise!,you know i like you,know like
1337,I like you too you're one of my favorite people to chat with,Thanks! The feeling is mutual.,i like you too youre one of my favorite people to chat with,like youre one favorite people chat
1338,I like u,Likewise!,i like u,like u
1339,just like you,Thanks! The feeling is mutual.,just like you,like
1340,I like you so,Likewise!,i like you so,like
1341,you're awesome I like you,Thanks! The feeling is mutual.,youre awesome i like you,youre awesome like
1342,I really like you,Likewise!,i really like you,really like
1343,I like your smile,Thanks! The feeling is mutual.,i like your smile,like smile
1344,I like you now,Likewise!,i like you now,like
1345,you are special,Thanks! The feeling is mutual.,you be special,special
1346,I kinda like you,Likewise!,i kinda like you,kinda like
1347,okay I like you,Thanks! The feeling is mutual.,okay i like you,okay like
1348,I said I like you,Likewise!,i say i like you,say like
1349,you're so special,Thanks! The feeling is mutual.,youre so special,youre special
1350,I just like you,Likewise!,i just like you,like
1351,cuz I like you,Thanks! The feeling is mutual.,cuz i like you,cuz like
1352,I really really really really like you,Likewise!,i really really really really like you,really really really really like
1353,I really really like you,Thanks! The feeling is mutual.,i really really like you,really really like
1354,I like you you're cool,Likewise!,i like you youre cool,like youre cool
1355,yes you are special,Thanks! The feeling is mutual.,yes you be special,yes special
1356,I really do like you,Likewise!,i really do like you,really like
1357,I like you the way you are,Thanks! The feeling is mutual.,i like you the way you be,like way
1358,I like you baby,Likewise!,i like you baby,like baby
1359,you are very special to me,Thanks! The feeling is mutual.,you be very special to me,special
1360,I think I like you,Likewise!,i think i like you,think like
1361,you're very special,Thanks! The feeling is mutual.,youre very special,youre special
1362,you are so sweet,Likewise!,you be so sweet,sweet
1363,good I like you,Thanks! The feeling is mutual.,good i like you,good like
1364,I like that about you,Likewise!,i like that about you,like
1365,but I like you so much,Thanks! The feeling is mutual.,but i like you so much,like much
1366,I like you you're nice,Likewise!,i like you youre nice,like youre nice
1367,well you are special,Thanks! The feeling is mutual.,well you be special,well special
1368,of course I like you,Likewise!,of course i like you,course like
1369,no I like you the way you are,Thanks! The feeling is mutual.,no i like you the way you be,like way
1370,hi I like you,Likewise!,hi i like you,hi like
1371,you are really special,Thanks! The feeling is mutual.,you be really special,really special
1372,but I really like you,Likewise!,but i really like you,really like
1373,but I like u,Thanks! The feeling is mutual.,but i like u,like u
1374,I like you too,Likewise!,i like you too,like
1375,you're so special to me,Thanks! The feeling is mutual.,youre so special to me,youre special
1376,thank you I like you too,Likewise!,thank you i like you too,thank like
1377,I like you,Thanks! The feeling is mutual.,i like you,like
1378,yes I like you,Likewise!,yes i like you,yes like
1379,I like you a lot,Thanks! The feeling is mutual.,i like you a lot,like lot
1380,you are so special to me,Likewise!,you be so special to me,special
1381,hey I like you,Thanks! The feeling is mutual.,hey i like you,hey like
1382,I like you so much,Likewise!,i like you so much,like much
1383,I like you very,Thanks! The feeling is mutual.,i like you very,like
1384,I like you too much,Likewise!,i like you too much,like much
1385,I like you as you are,Thanks! The feeling is mutual.,i like you a you be,like
1386,I like you already,Likewise!,i like you already,like already
1387,I like you more,Thanks! The feeling is mutual.,i like you more,like
1388,okay I like you too,Likewise!,okay i like you too,okay like
1389,you're very special to me,Thanks! The feeling is mutual.,youre very special to me,youre special
1390,yeah I like you,Likewise!,yeah i like you,yeah like
1391,really like you,Thanks! The feeling is mutual.,really like you,really like
1392,but I like you,Likewise!,but i like you,like
1393,you are special to me,Thanks! The feeling is mutual.,you be special to me,special
1394,I do like you,Likewise!,i do like you,like
1395,that's because you are special,Thanks! The feeling is mutual.,thats because you be special,thats special
1396,but I like you just the way you are,Likewise!,but i like you just the way you be,like way
1397,sorry I like you,Thanks! The feeling is mutual.,sorry i like you,sorry like
1398,you are very special,Likewise!,you be very special,special
1399,I miss you,I've been right here all along!,i miss you,miss
1400,miss you,Nice to know you care.,miss you,miss
1401,I miss you much,Thanks. I'm flattered.,i miss you much,miss much
1402,I missed you,"I didn't go anywhere, boss!",i miss you,miss
1403,already miss you,Thanks. I'm flattered.,already miss you,already miss
1404,I've missed you,"I didn't go anywhere, boss!",ive miss you,ive miss
